name,longitude,latitude
.net,116.614881,39.853132
agile,116.698781,40.067608
ajax,116.241839,40.164113
amazon-web-services,116.655983,39.867933
android,116.683332,39.843192
android-studio,116.360106,40.166333
angular,116.482449,40.090649
angular2,116.501328,40.050573
angularjs,116.373684,39.835242
apache,116.742818,40.118552
apache-spark,116.56115,39.842995
api,116.419252,40.061372
asp.net,116.607232,40.10459
asp.net-web-api,116.568438,40.04939
azure,116.541495,40.150637
bash,116.601462,39.887017
bootstrap,116.618836,40.176573
c,116.235913,39.843944
c#,116.427669,39.842596
c++,116.525597,40.143463
cloud,116.373492,39.800478
codeigniter,116.696829,40.008619
css,116.707428,39.887469
devops,116.675043,40.058307
django,116.271398,40.002586
docker,116.548421,40.006353
drupal,116.657916,40.140115
eclipse,116.591888,40.033592
elasticsearch,116.660446,39.871149
embedded,116.79418,39.923303
entity-framework,116.377732,39.854598
excel,116.560404,40.171584
excel-vba,116.463326,39.81972
express,116.330664,40.011726
flask,116.600061,39.956941
git,116.34819,39.873193
github,116.527265,39.818416
go,116.504336,40.040289
hadoop,116.367665,40.137549
haskell,116.684629,39.984019
hibernate,116.781841,40.187319
html,116.502688,39.825077
html5,116.377535,39.861289
ionic-framework,116.47261,40.139108
ios,116.372971,39.99035
iphone,116.40547,39.88063
java,116.269714,39.893762
java-ee,116.537462,39.861063
javascript,116.440312,40.159635
jenkins,116.249602,40.118565
jquery,116.20054,39.904969
json,116.787398,40.090658
jsp,116.355689,39.959088
laravel,116.782264,40.086861
less,116.405837,39.820969
linq,116.382723,40.169415
linux,116.422095,40.012101
machine-learning,116.403114,39.931169
matlab,116.579209,40.015192
maven,116.579842,39.914262
mongodb,116.556971,39.948001
mvc,116.344618,39.876357
mysql,116.229941,39.818163
nginx,116.240075,39.924415
node.js,116.490162,39.941827
objective-c,116.320121,39.952142
oracle,116.656722,39.804521
osx,116.475489,40.082925
perl,116.793579,40.111134
photoshop,116.681927,40.159269
php,116.309669,40.094879
plsql,116.502826,39.894345
postgresql,116.302802,39.967565
powershell,116.69885,40.034375
python,116.737529,39.893805
qt,116.512386,40.145016
r,116.35961,40.118806
reactjs,116.320876,40.052359
react-native,116.212836,40.115241
redis,116.606045,39.885629
redux,116.398556,40.063761
regex,116.34013,40.195397
rest,116.711333,40.169674
ruby,116.2974,39.943542
ruby-on-rails,116.242663,40.052484
sass,116.403175,40.141672
scala,116.640861,40.093959
selenium,116.261724,40.143102
shell,116.719175,39.802067
spring,116.211734,40.052396
spring-boot,116.328395,39.992342
spring-mvc,116.449094,39.899636
sql,116.700355,39.935065
sql-server,116.268603,40.185676
swift,116.685906,40.1313
tdd,116.611551,39.880478
testing,116.260657,40.035656
twitter-bootstrap,116.540347,40.009352
twitter-bootstrap-3,116.502188,40.006487
typescript,116.430184,39.898861
ubuntu,116.353947,39.989025
unity3d,116.5089,39.905868
unix,116.737533,40.066585
vb.net,116.276663,40.012447
vba,116.616484,39.937482
visual-studio,116.659363,39.80649
vue.js,116.661128,39.818301
wcf,116.200049,40.140029
web-services,116.346547,40.193784
windows,116.292741,40.005824
wordpress,116.685908,39.879258
wpf,116.529407,39.897142
xamarin,116.767175,39.854972
xcode,116.651851,39.858252
xml,116.300593,40.031797
